time;gFx;gFy;gFz;TgF
08:32:40:4610;0,6691;-0,4931;-0,7404;1,100
08:32:40:4650;0,6718;-0,4976;-0,7325;1,098
08:32:40:4670;0,6636;-0,4908;-0,7007;1,069
08:32:40:4700;0,6659;-0,4805;-0,6609;1,040
08:32:40:4730;0,6787;-0,4673;-0,5889;0,998
08:32:40:4760;0,7116;-0,4389;-0,5444;0,982
08:32:40:4780;0,7285;-0,4095;-0,4905;0,952
08:32:40:4800;0,7229;-0,3606;-0,4263;0,896
08:32:40:4830;0,6942;-0,3545;-0,3872;0,853
08:32:40:4850;0,6941;-0,3868;-0,3626;0,856
08:32:40:4870;0,6868;-0,4111;-0,3623;0,861
08:32:40:4900;0,6892;-0,4363;-0,3966;0,890
08:32:40:4960;0,7045;-0,4502;-0,4238;0,920
08:32:40:5000;0,7140;-0,4505;-0,4238;0,927
08:32:40:5200;0,7181;-0,4628;-0,4050;0,928
08:32:40:5240;0,7247;-0,4772;-0,3787;0,929
08:32:40:5270;0,7311;-0,4889;-0,3734;0,938
08:32:40:5300;0,7353;-0,4949;-0,3761;0,945
08:32:40:5330;0,7490;-0,4956;-0,3747;0,955
08:32:40:5360;0,7435;-0,4948;-0,3533;0,942
08:32:40:5380;0,7209;-0,5016;-0,3300;0,920
08:32:40:5410;0,6921;-0,5166;-0,3114;0,900
08:32:40:5560;0,6367;-0,5277;-0,3289;0,873
08:32:40:5600;0,5982;-0,5420;-0,3247;0,853
08:32:40:5630;0,5836;-0,5414;-0,2919;0,831
08:32:40:5660;0,6075;-0,5418;-0,2769;0,842
08:32:40:5680;0,6412;-0,5273;-0,2907;0,862
08:32:40:5710;0,6903;-0,5027;-0,3177;0,893
08:32:40:5760;0,7558;-0,4723;-0,3420;0,936
08:32:40:5810;0,8324;-0,4403;-0,3586;0,989
08:32:40:5860;0,9005;-0,4274;-0,3397;1,034
08:32:40:6030;0,9505;-0,4332;-0,3067;1,069
08:32:40:6080;0,9777;-0,4430;-0,2783;1,089
08:32:40:6100;0,9919;-0,4535;-0,2576;1,101
08:32:40:6130;1,0046;-0,4634;-0,2668;1,118
08:32:40:6160;1,0175;-0,4798;-0,3055;1,146
08:32:40:6190;1,0358;-0,5077;-0,3558;1,188
08:32:40:6220;1,0321;-0,5524;-0,4234;1,226
08:32:40:6360;1,0015;-0,6647;-0,5000;1,284
08:32:40:6400;1,8980;-1,2986;-1,0258;2,501
08:32:40:6440;1,8980;-1,0088;-0,8865;2,307
08:32:40:6480;0,2901;-0,5362;-0,3885;0,711
08:32:40:6500;0,2535;-0,7081;-0,4239;0,853
08:32:40:6520;0,3775;-0,8004;-0,1529;0,884
08:32:40:6580;0,3242;-0,6833;-0,1419;0,756
08:32:40:6610;0,5780;-0,6356;-0,1085;0,848
08:32:40:6780;0,8621;-0,5647;-0,1380;1,020
08:32:40:6810;1,0029;-0,4412;-0,3121;1,120
08:32:40:6840;0,9712;-0,3624;-0,4763;1,123
08:32:40:6860;0,9460;-0,3466;-0,6020;1,157
08:32:40:6900;0,9455;-0,2759;-0,6604;1,170
08:32:40:6930;0,9373;-0,3348;-0,4220;1,063
08:32:40:7070;0,8535;-0,5406;-0,1651;1,004
08:32:40:7100;0,7498;-0,6647;0,0269;0,983
08:32:40:7130;0,7278;-0,6986;0,1370;0,999
08:32:40:7150;0,7366;-0,6702;0,0446;0,977
08:32:40:7170;0,8198;-0,6386;-0,0707;1,022
08:32:40:7220;0,8814;-0,5947;-0,1984;1,062
08:32:40:7330;0,9170;-0,5455;-0,2833;1,085
08:32:40:7360;0,8702;-0,4624;-0,3416;1,024
08:32:40:7380;0,8229;-0,4370;-0,0895;0,915
